,Equipment,Sub equipment (if applicable),Down time issue,Machine/ process stop time,Machine/ process start time,Time taken (Duration),"Type (B/D, PM, SC, Process)",Attended by - department,Attended by - senior PM/ PC/ other,Issue,Temporary action taken
22,Sleeve,Mould,water leakage from spt side,20:57,21:42,0.75,B/D,Mechanical,,Spt seal got damage as metal got inside resulting in huge water leakage,Spt seal changed
23,Diabola ,Diabola ,Diabola roller change ,2:50,3:17,0.3,B/D,Mechanical,Ramesh Kumar,Diabola trolley flat wheel pin got bend,Diabola wheel was changed
24,Sleeve,Mould,water leakage from spt side,15:30,15:35,0.08,B/D,Mechanical,,No record,
25,Core loader,Core loader,Core loader prob ,13:50,14:05,0.25,B/D,Mechanical,,Corering with spring housing got out from its housing hub,coreloader changed
26,Core loader,Core loader,Core loader prob ,15:33,16:03,0.5,B/D,Mechanical,,Skt metal fly,coreloader compression increased from 11mm to 15 mm 
27,Sleeve,Mould,water leakage from spt side,17:00,18:12,0.3,B/D,Mechanical,,Water leakage from taper 'o' ring rubber cord,Taper 'o' ring cord of 10mm replaced with that of 12mm
28,MTC ,MTC ,M/c not down & MTC open out ,6:35,12:00,5.42,B/D,Mechanical,,mtc rod got detached from eye and boggie strucked in up position,mtc rod attached with eye and rod welded with eye
29,Sleeve,Mould,water leakage from spt side,14:45,15:07,0.37,B/D,Mechanical,,Water leakage from spt seal due to mould vibration,Sleeve was changed
30,Sleeve,Mould,Mould change due to mould vibration ,15:25,16:13,0.8,B/D,Mechanical,,Mould vibration,Sleeve was changed
31,trough ,trough ,trough shifting cylinder open out ,12:00,15:05,3.08,B/D,Mechanical,,"When trough shifting top cylinder was operating,its bottom cylinder rod was automatically opening out.",trough shifting bottom cylinder eye bracket in closed position fixed by providing I beam as stopper
32,PTT,PTT,PTT de-railed frquently ,18:15,18:30,0.25,B/D,Mechanical,,PTT got derailed ,"PTT was put into its track,track was cleaned from sand and flagagte up speed decreased."
33,PTT,PTT,PTT de-railed frquently ,19:20,19:35,0.25,B/D,Mechanical,,PTT got derailed ,PTT was put into its track and track was cleaned from sand 
34,PTT,PTT,PTT de-railed frquently ,3:22,3:34,0.2,B/D,Mechanical,,PTT got derailed ,PTT was put into its track and track was cleaned from sand 
35,flag gate ,flag gate ,flag gate prob ,1:28,1:37,0.15,B/D,Mechanical,,Skt side flaggate buffer stopper broked,Flaggate buffer stopper changed
36,Sleeve,Mould,Mould change due to mould vibration ,16:55,18:10,1.25,B/D,Mechanical,,Mould vibration in sl no 1,Sleeve was changed
37,flag gate ,flag gate ,flag gate stopper broken ,14:40,15:10,0.5,B/D,Mechanical,,Skt side flaggate buffer stopper broked as pipe slipped from extractor and fell over buffer stopper,flaggate buffer stopper changed
38,extractor,extractor,extractor  prob ,16:30,17:15,0.75,B/D,Mechanical,,Extractor jaw open close cylinder was not fully closing.,Extractor jaw open close cyl limit adjusted
39,extractor,extractor,extractor  prob ,2:05,4:15,2.17,B/D,Mechanical,,Extractor jaw open close cylinder was not fully closing.,Extractor jaw open close cylinder changed
40,Core loader,Core loader,Core loader extractor change ,1:50,2:08,0.3,B/D,Mechanical,,Coreloader shaft bend,3
41,Sleeve,Mould,water leakage from spt side,16:40,16:55,0.25,B/D,Mechanical,,Water leakage from spt seal,Water leakage arrested by scaling out metal from spt seal
42,Sleeve,Mould,water leakage from spt side,18:41,19:23,0.7,B/D,Mechanical,,Water leakage from spt seal,Water leakage arrested by scaling out metal from spt seal
43,Diabola ,Diabola ,Diabola nut & bolt loose,11:20,11:42,0.37,B/D,Mechanical,,Diabola trolley b side flat wheel got out,Diabola trolley b side flat wheel fitted
44,Sleeve,Mould,water leakage from spt side,21:20,21:37,0.28,B/D,Mechanical,,Water leakage from spt seal,Spt seal changed
45,Sleeve,Mould,Mould pressing roller prob ,4:30,4:50,0.33,B/D,Mechanical,,No record,
46,Sleeve,Mould,water leakage from spt side,18:00,18:16,0.27,B/D,Mechanical,,Water leakage from spt seal,Water leakage arrested by scaling out metal
47,Mould,Mould,mould rotation jam+ water leakage from spt side,23:30,1:00,1.5,B/D,Mechanical,,mould rotation jam+ water leakage from spt seal,Mould supporting rollers were checked and spt seal was changed
48,Mould,Mould,water leakage from spt side,2:00,2:15,0.25,B/D,Mechanical,,No record,
49,Mould,Mould,mould rotation jam+ water leakage from spt side,2:30,6:00,3.5,B/D,Mechanical,,mould rotation jam+ water leakage from spt seal,Spt side all mould supporting rollers were changed
50,PTT,PTT,PTT rope change ,23:30,0:00,0.5,B/D,Mechanical,,No record,
51,ULI,ULI,dry uli tube change ,13:50,14:10,0.33,B/D,Mechanical,,operation,
52,Sleeve,Mould,water leakage from spt side,23:28,23:46,0.3,B/D,Mechanical,,No record,
53,Sleeve,Mould,Mould change due to mould vibration ,23:55,0:40,0.75,B/D,Mechanical,,mould vibration,Sleeve was changed
54,Sleeve,Mould,Mould sleeve setting prob ,0:40,1:30,0.83,B/D,Mechanical,,"when sl was removed,one jack nut was not removed fully and sl which was fitting got strucked",Jack nut cuuted out and sl was set
55,flag gate ,flag gate ,flag gate not up,7:04,7:20,0.27,B/D,Mechanical,,No record,
56,extractor,extractor,extractor change ,15:00,16:30,1.5,B/D,Mechanical,,Due to misoperation extractor one jaw holder got bend,Extractor changed
57,Mould,Mould,water leakage from spt side,6:00,6:38,0.63,B/D,Mechanical,,Water leakage from spt seal,At spt side extra dummy seal provided 
58,Mould,Mould,Mould vibration & water leak,7:26,8:30,1.07,B/D,Mechanical,,Mould vibration ,
59,Mould,Mould,water leakage from spt side,9:50,16:50,7,B/D,Mechanical,,Mould vibration + water leakage from spt seal,"Headbrg was changed,ac motor replaced,middle top roller was changed and mould was changed."
60,trough ,trough ,trough vibration ,10:28,11:24,0.93,B/D,Mechanical,,operation,
61,extractor,extractor,extractor stopper spring open out,1:07,1:35,0.47,B/D,Mechanical,,Extractor pipe stopper spring broked,Extractor pipe stopper spring changed
62,extractor,extractor,extractor alingment,18:19,19:30,1.18,B/D,Mechanical,,pipe skt groove damage,extractor centered as its center was out
63,Sleeve,Mould,Mould sleeve setting prob ,14:00,14:55,0.92,B/D,Mechanical,,Skt sleeve pressing unit head open out,skt sleeve pressing unit head fitted
64,core loader,core loader,core loader spring broken ,1:40,2:08,0.47,B/D,Mechanical,,Coreloader spring broked,coreloader changed
65,Mould,Mould,Mould clamping plate water leakage ,3:35,4:43,1.13,B/D,Mechanical,,water leakage from skt clamping plate,"Mould was removed, gasket was replaced with rubber chord and mould refitted."
66,Sleeve,Mould,water leakage from spt side,12:22,13:00,0.63,B/D,Mechanical,,Water leakage from taper plate o ring,Skt side h/b mounting bolts made tight and spt side steady made up
67,Sleeve,Mould,water leakage from spt side,14:15,14:23,0.13,B/D,Mechanical,,No record,
68,Sleeve,Mould,water leakage from spt side,19:05,19:15,0.17,B/D,Mechanical,,No record,
69,trough ,trough ,trough allignment prob,22:00,23:00,1,B/D,Mechanical,,operation,
70,trough ,trough ,B side trough pressing roller prob,15:46,15:56,0.17,B/D,Mechanical,,b side trough pressing roller guide shaft clamp plate bolts were missing,Clamp plate bolts were fitted
71,extractor,extractor,extractor centering check,16:15,17:11,0.3,B/D,Mechanical,,Extractor center out,extractor centered
72,trough ,trough ,B side trough pressing roller prob,20:56,21:22,0.43,B/D,Mechanical,,b side trough pressing roller rotation jam,b side trough pressing roller changed
73,trough ,trough ,B side trough pressing roller prob,23:00,23:15,0.25,B/D,Mechanical,,b side trough pressing roller rotation jam,b side trough pressing roller changed
74,extractor,extractor,extractor centering ,20:51,21:17,0.43,B/D,Mechanical,,Extractor center out,extractor centered
75,trough ,trough ,B side trough pressing roller prob,4:20,4:50,0.5,B/D,Mechanical,,B side trough pressing roller was not rotating,Roller replaced
76,Core Loader,Core Loader,Core Loader compression adjustment,14:36,14:42,0.1,B/D,Mechanical,,No record,
77,Fix ladle,Fix ladle,Fix ladle cylinder bracket work done by mechanical,3:00,4:00,1,B/D,Mechanical,,Fixed ladle cylinder go out from trunion bracket + oil leakage from port hose,"Cylinder refitted into trunion bracket,bracket bolts were replaced and hose replaced"
78,Core Loader,Core ring,Core ring change due to ring broken,2:50,3:08,0.3,B/D,Mechanical,,Corering sticked with produced pipe and corering with housing got out from its brg housing,coreloader replaced.
79,extractor,extractor,extractor stopper prob ,22:00,22:32,0.53,B/D,Mechanical,Alekha,due to misoperation extractor pipe stopper from base got twisted,temporarily extractor stopper at front made straight
80,extractor,extractor,extractor centering ,3:20,4:15,0.92,B/D,Mechanical,Alekha,Extractor center got out,Extractor centered
81,extractor,extractor,extractor centering prob,12:15,12:57,0.7,B/D,Mechanical,,Extractor center out,extractor centered
82,extractor,extractor,extractor centering ,7:20,7:57,0.62,B/D,Mechanical,,No record,
83,extractor,extractor,extractor centering ,21:50,22:39,0.82,B/D,Mechanical,,Extractor center out,extractor centered by shifting boggie
84,extractor,extractor,extractor centering ,23:35,0:50,1.25,B/D,Mechanical,,No record,
85,extractor,extractor,extractor centering ,2:15,3:05,0.83,B/D,Mechanical,,No record,
86,extractor,extractor,extractor centering ,4:35,6:00,1.42,B/D,Mechanical,,No record,
87,extractor,extractor,extractor change ,12:23,13:19,0.93,B/D,Mechanical,,Extractor jaws were not closing due to sand jam in rotary pushing rod,     
88,extractor,extractor,extractor centering ,6:00,7:14,1.23,B/D,Mechanical,,Extractor center out + guide rod checknut loose,"extractor changed,extractor centered and guide rod checknut made tight."
89,extractor,extractor,extractor centering ,17:00,18:12,1.2,B/D,Mechanical,Alekha,Extractor center out,"Extractor centered + inside skt side collar flat boggie wheel,packing ring plate provided."
90,Core loader,Core loader,Core loader prob ,21:05,21:18,0.22,B/D,Mechanical,,Coreburst + sandstick on pipe face surface,Coreloader centered as center was out
91,Core loader,CCM,m/c stop due to c/b prob ,21:35,23:50,2.25,B/D,Mechanical,,Coreburst + sandstick on pipe face surface,Coreloader centered as center was out
92,extractor,extractor,extractor centering out ,12:12,13:04,0.87,B/D,Mechanical,,No record,
93,extractor,extractor,extractor jaw open open close prob ,4:55,6:00,1.08,B/D,Mechanical,,Extractor jaws were not closing as rotary pusher shaft opened out,Extractor changed
94,extractor,extractor,extractor change ,11:55,12:55,1,B/D,Mechanical,,Pipe slippage from extractor,Extractor changed
95,MTC ,MTC ,MTC gland tight ,17:20,18:30,1.17,B/D,Mechanical,,huge oil leakage from mtc gland,mtc gland mounting bolts made tight
96,extractor,extractor,extractor jaw open open close prob ,6:00,7:30,1.5,B/D,Mechanical,,Extractor jaws were not closing as rotary pusher shaft opened out,Extractor with rotary assy unit changed
97,trough ,trough ,hydrulic oil leakage from trough shifting hose ,23:29,0:29,1,B/D,Mechanical,Srikanta,hydrulic oil leakage from a side trough shifting b port hose ,Hose changed
98,extractor,extractor,extractor toper prob ,3:45,4:15,0.5,B/D,Mechanical,Srikanta,Extractor pipe stopper mounting bolts broked,Bolts fitted.
99,trough ,trough ,A side trough pressing unit change,14:00,15:00,1,B/D,Mechanical,,Due to misoperation trough pressing roller guide shaft got bend,Trough pressing roller with guide shaft changed
100,PTT,PTT,PTT rope change ,15:30,16:14,0.73,B/D,Mechanical,,PTT rope got cut,PTT rope changed
101,Mould,Mould,mould pressing roller change ,21:40,3:45,6.08,B/D,Mechanical,Ramesh Kumar,Pipe drawn,"Sleeve preesing units were checked,sector ladle cyl internel leakage checked,diabola cyl bracket bolts made tight,a side flat collar boggie wheels pressing cover made tight."
102,extractor,extractor,extractor jaw clossing prob ,21:14,0:17,3.05,B/D,Mechanical,Ramesh Kumar,Extractor jaws were not closing fully,Extractor with rotary assy unit changed
103,extractor,extractor,extractor jaw clossing prob ,2:13,2:19,0.1,B/D,Mechanical,,No record,
104,Core loader,Core loader,Core loader centering ,4:35,5:21,0.77,B/D,Mechanical,,,
105,Mould,Mould,water leakage from spt side,20:10,20:18,0.13,B/D,Mechanical,,,
106,Core loader,Core loader,Core loader unit change,13:00,16:50,3.83,B/D,Mechanical,,,
107,extractor,extractor,extractor jaw clossing prob ,6:40,6:56,0.27,B/D,Mechanical,,,
108,extractor,extractor,extractor jaw clossing prob ,10:33,10:38,0.08,B/D,Mechanical,,,
109,extractor,extractor,extractor jaw clossing prob ,13:30,13:40,0.17,B/D,Mechanical,,,
110,extractor,extractor,extractor jaw clossing prob ,16:10,16:19,0.15,B/D,Mechanical,,,
111,PTT,PTT,PTT not moving ,21:47,22:25,0.63,B/D,Mechanical,,,
112,Trough ,Trough ,A side trough supporting roller change ,13:00,13:20,0.33,B/D,Mechanical,,Trough supporting roller was not rotating,Trough supporting roller changed
113,Mould,Mould,water leakage from spt side ,15:05,15:53,0.8,B/D,Mechanical,Tapash,water leakage from spt mould seal after sleeve set,Spt mould seal changed
114,extractor,extractor,extractor unit change ,3:55,4:40,0.75,B/D,Mechanical,Alekha,pipe slippage from extractor due to hard extraction,Extractor changed and centered
115,extractor,extractor,extractor jaw clossing prob ,20:09,20:29,0.33,B/D,Mechanical,Tapash,No record,
116,MTC,MTC,MTC gland cleaning + MTC gland tight,15:25,16:00,0.58,B/D,Mechanical,Tapash,mtc clamp bolts got loose,mtc clamp bolts made tight
117,Trough ,Trough ,A side trough supporting roller stand broken,14:18,14:44,0.43,B/D,Mechanical,Tapash,A side trough supporting roller bracket bottom frame broked,A side trough supporting roller bottom frame welded
118,Trough ,Trough ,A side trough supporting roller change ,16:13,16:27,0.23,B/D,Mechanical,Tapash, A side trough supporting roller was not rotating,A side trough supporting roller changed
119,CCM,CCM,bogie wheel change ,2:00,5:20,3.33,B/D,Mechanical,,Pipe drawn,a side both skt and spt flat wheel with collar replaced
120,Mould,Mould,water leakage from spt side ,23:45,0:50,1.08,B/D,Mechanical,,Water leakage from spt mould seal,Spt mould seal changed
121,Mould,Mould,water leakage from spt side ,9:11,14:50,5.65,B/D,Mechanical,,water leakage from h/b boggie mounting gap,h/b 12 mm o ring fitted
122,Core loader ,Core loader ,Core loader spring broken ,12:26,12:32,0.1,B/D,Mechanical,,coreloader spring broked,coreloader changed
123,Mould,Mould,water leakage from spt side ,7:05,7:30,0.42,B/D,Mechanical,,no record,
124,extractor,extractor,extractor centering out ,11:10,12:08,0.97,B/D,Mechanical,,no record,
125,Mould,Mould,water leakage from spt side ,14:10,14:56,0.77,B/D,Mechanical,,Water leakage from h/b boggie mounting gap,h/b bolts were given tight with proper position
126,CCM,CCM,under mechanical (log sheet+ log book),1:45,2:45,1,B/D,Mechanical,,"to fit sl properly into boggie,at h/d mounting area both a and b side guide plates fixed.",
127,Diabola,Diabola,Diabola shifting prob ,16:30,1:50,3,B/D,Mechanical,,Runner broked two times as diabola trolley was not in sync with trough shifting trolley,"Runners changed,diabola cyl flow adjusted."
128,Trough ,Trough ,A side trough supporting roller change ,8:55,9:02,0.12,B/D,Mechanical,,A side trough supporting roller was not rotating,A side trough supporting roller changed
129,Trough ,Trough ,b side trough centering check,19:32,19:50,0.3,B/D,Mechanical,,operation,
130,bogie,bogie,"rail grinding,bogie wheel change ",1:55,3:05,1.17,B/D,Mechanical,,Pipe drawn,a side boggie rail levelled by welding and grinding
131,Trough ,Trough ,b side trough vibration ,3:20,5:45,2.42,B/D,Mechanical,,operation,
132,Mould,Mould,Mould change (alingment check due to thickness vibration),11:16,17:02,5.77,B/D,Mechanical,,spt side mould vibration,spt bottom rollers bracket play arrested and mould set with proper alignment
133,CCM,CCM,generation of drawn pipe ,11:55,13:17,1.37,B/D,Mechanical,,pipe drawn,"at middle a side rail position,1.5mm packing provided at bottom of the rail"
134,Mould,Mould,water leakage from spt side ,16:35,18:30,1.92,B/D,Mechanical,,no record,
135,Mould,Mould,Mould change,4:35,6:00,1.42,B/D,Operation,,,
136,uli tube,uli tube,dry uli dropping prob ,0:57,2:00,1.05,B/D,Mechanical,,Dry powder was not falling onto funnel as pneu vibrator was not working,Vibrator pneu pu hose changed
137,uli tube,uli tube,dry uli dropping prob ,2:53,3:42,0.82,B/D,Mechanical,,Dry powder was not falling onto funnel,pipelines were cleaned as powder got jam
138,Core loader,Core loader,core loader arm welding (c/b prob),11:55,14:08,2.22,B/D,Mechanical,,coreburst as coreloader center got out due to coreloader arm breakage ,coreloader arm broken part welded and coreloader centered.
139,extractor,extractor,extractor jaw clossing prob ,6:50,7:15,0.42,B/D,Mechanical,,extractor jaws were not closing as its dc valve spool got jam,dc valve spool jam freed.
140,Mould,Mould,water leakage from spt side ,6:00,7:30,1.5,B/D,Mechanical,,water leakage from spt taper o ring after sleeve set,o ring changed
141,extractor,extractor,Extractor centering  prob ,17:08,17:50,0.7,B/D,Mechanical,,pipe slippage from extractor due to hard extraction,extractor changed + operation
142,scrap trolly ,scrap trolly ,scrap trolly rope change,0:00,0:37,0.62,B/D,Mechanical,,STT rope got damage,STT rope changed
143,fallchute ,fallchute ,B side fallchute hose supporting bolt welding ,9:25,9:30,0.08,B/D,Mechanical,,no record,
144,extractor,extractor,extractor jaw clossing prob ,8:57,9:37,0.67,B/D,Mechanical,,Extractor jaws were not closing,"after operating dc valve manualy several times,suddenly ext started operating."
145,Core loader,Core loader,Core loader centering check ,19:08,19:16,0.13,B/D,Mechanical,,coreburst,coreloader centered as center got out
146,uli tube,uli tube,dry uli tube change,19:50,20:33,0.72,B/D,Mechanical,,3,
147,extractor,extractor,Extractor centering  prob ,8:02,9:22,1.33,B/D,Mechanical,,no record,
148,CCM,CCM,hydrulic oil hose leakage ,12:31,12:43,0.2,B/D,Mechanical,,skt side flaggate cyl hose got damage,hose changed
149,Mould,Mould,water leakage from spt side ,8:37,11:00,2.38,B/D,Mechanical,,water leakage from h/b v seal,sleeve changed
150,CCM,CCM,m/c under mechanical due to drawn generation ,7:00,14:20,7.33,B/D,Mechanical,tapash,pipe drawn in middle portion due to boggie/sleeve vibration,"Boggie wheels checked,pressing unit checked,rail levelled by welding and grinding and sleeve changed."
151,Core loader,Core loader,Core loader centering out ,23:35,0:18,0.72,B/D,Mechanical,,Coreloader center out,coreloader changed and centered
152,CCM,CCM,water out let hose change ,12:13,12:57,0.73,B/D,Mechanical,,outlet cooling hose got damage,cooling hose changed during mouldchange
153,Trough ,Trough ,trough shifting  prob,9:25,12:04,2.65,B/D,Mechanical,,no record,
154,Mould,Mould,mould vibration,14:19,14:33,0.23,B/D,Mechanical,,spt side 1.5mm thickness variation,Mould alignment checked
155,Mould,Mould,mould alignment due to thickness variation ,16:45,17:25,0.67,B/D,Mechanical,,spt side 1.5mm thickness variation,Mould changed
156,extractor,extractor,Extractor centering  prob ,9:46,10:00,0.23,B/D,Mechanical,,pipe slippage from extractor,extractor changed
157,extractor,extractor,extractor change ,10:07,10:50,0.72,B/D,Mechanical,,pipe slippage from extractor,extractor changed
158,PTT,PTT,PTT rope change ,2:25,2:55,0.5,B/D,Mechanical,,PTT rope got damage,PTT rope changed
159,CCM,CCM,m/c under mechanical due to core brust prob ,8:20,10:45,2.42,B/D,Mechanical,,No record,
160,Core loader,Core loader,Core loader prob ,23:35,23:51,0.27,B/D,Mechanical,Srikanta,skt metal fly,compression increased to 10mm from 4mm
161,CCM,CCM,head bearing water leakage ,0:38,1:00,0.37,B/D,Mechanical,,water leakage from mould skt clamping plate,Mould skt clamping plate bolts made tight
162,Trough ,Trough ,A side trough centering ,1:00,1:15,0.25,B/D,Mechanical,,no record,
163,Mould,Mould,water leakage from spt side ,18:20,19:45,1.42,B/D,Mechanical,Balaram,Water leakage from skt h/b boggie mounting gap,Sleeve centered and h/b properly mounted 
164,Mould,Mould,water leakage from spt side ,8:35,9:08,0.55,B/D,Mechanical,,water leakage from spt mould seal,Spt mould seal changed
165,extractor,extractor,extractor centering check ,2:32,3:05,0.55,B/D,Mechanical,Ramesh kumar,no record,
166,Core loader,Core loader,Core loader prob ,13:30,13:45,0.25,B/D,Mechanical,,no record,
167,Trough ,Trough ,B side trough pressing roller change ,23:45,23:55,0.17,B/D,Mechanical,Ramesh kumar,B side trough pressing roller rotation jam,B side trough pressing roller changed
168,Trough ,Trough ,trough centering ,6:35,7:47,1.2,B/D,Mechanical,,operation,
169,CCM,CCM,rail line grindig ,23:10,0:00,0.83,B/D,Mechanical,Ramesh kumar,Drawn pipe ,b side at rail joint position levelled by welding and grinding
170,flag gate,flag gate,flag gate lifting prob,2:30,2:50,0.33,B/D,Mechanical,Ramesh kumar,Flaggate was not moving up and down,cyl port hose was removed and than refitted.
171,Trough ,Trough ,"B side trough stoper broken,stoper welding ",2:25,2:35,0.17,B/D,Mechanical,Ramesh kumar,No record,
172,Core loader,Core loader,Core loader centering check ,14:25,15:13,0.8,B/D,Mechanical,,coreburst,coreloader changed and compression increased
173,No metal,No metal,No metal due to crane b/d,13:52,0:47,10.92,B/D,Mechanical,,30t crane hoist diversion pulley brg broked and pulley got damage,Hoist diversion pulley with brg changed
174,No metal,No metal,No metal due to crane b/d,14:06,0:10,10.07,B/D,Mechanical,,30t crane hoist diversion pulley brg broked and pulley got damage,Hoist diversion pulley with brg changed
175,No metal,No metal,No metal due to crane b/d,20:54,0:10,3.27,B/D,Mechanical,,30t crane hoist diversion pulley brg broked and pulley got damage,Hoist diversion pulley with brg changed
176,No metal,No metal,No metal due to crane b/d,14:00,0:09,10.15,B/D,Mechanical,,30t crane hoist diversion pulley brg broked and pulley got damage,Hoist diversion pulley with brg changed
177,No metal,No metal,No metal due to crane b/d,13:56,0:31,10.58,B/D,Mechanical,,30t crane hoist diversion pulley brg broked and pulley got damage,Hoist diversion pulley with brg changed
178,Trough ,Trough ,trough centering check & F part cleaning ,6:30,7:08,0.63,B/D,Mechanical,,operation,
179,Core loader,Core loader,Core loader centering out ,12:41,12:50,0.15,B/D,Mechanical,,Coreloader center out,coreloader centered
180,Mould,Mould,mould vibration,5:35,6:00,0.42,B/D,Mechanical,,no record,
181,diabola ,diabola ,diabola trolley bend due bogie cross the down limit,8:25,15:02,6.62,B/D,Mechanical,,"diadola trolley all wheels,pin,frame bend,cylinder fittings broked and trough pressing bracket bend due to misoperation","diabola frme bend made straight,wheels changed,cyl fittings changed and trough pressing changed"
182,sector ladle ,sector ladle ,sector ladle lifing not work,15:10,19:05,3.92,B/D,Mechanical,,Sector ladle up and down position was not in proper position,Sector ladle cam roller arm cutted and fitted in proper position.
183,Mould,Mould,water leakage from spt side ,12:12,12:44,0.53,B/D,Mechanical,,water leakage from spt mould seal,Spt mould seal changed
184,PTT,PTT,PTT rope change ,9:11,10:00,0.82,B/D,Mechanical,,PTT rope got damage,PTT rope changed
185,extractor,extractor,A side trough tilted in mould poition during extracting ,3:30,4:00,0.5,B/D,Mechanical,,a side trough tilting got jam ,"by manually operating, jam cleaned"
186,extractor,extractor,extractor centering out ,12:52,13:20,0.47,B/D,Mechanical,,pipe slippage from extractor,extractor centered as center was out
187,core loader ,core loader ,core loader ring change,19:35,20:10,0.58,B/D,Mechanical,,coreloader shaft got bend,coreloader changed
188,Core loader,Core loader,Core loader housing change ,11:17,11:40,0.38,B/D,Mechanical,,coreburst,coreloader changed
189,Mould,Mould,Mould change due to water leakage from skt side ,3:00,4:00,1,B/D,Mechanical,Venugopal,water leakage from dn 80-150 h/b no 9 v seal,sleeve changed
190,Core loader,Core loader,Core loader prob ,11:48,12:10,0.37,B/D,Mechanical,,coreloader spring broked,coreloader changed
191,Core loader,Core loader,Core loader shaft change,0:17,0:27,0.17,B/D,Mechanical,Venugopal,skt metal fly,coreloader changed
192,Trough ,Trough ,trough shifting lock pin open out ,14:33,15:04,0.52,B/D,Mechanical,Tapash,trough shifting frmae bolt nut got out,trough shifting frame bolt nut welded
193,Trough ,Trough ,B side trough pressing roller change ,12:15,13:34,1.32,B/D,Mechanical,,b side trough pressing guide rod bend,pressing unit changed along with pneu cyl dc valve
194,PTT,PTT,PTT prob,19:05,19:20,0.25,B/D,Mechanical,Tapash,no record,
195,Trough ,Trough ,A side trough pressing roller prob ,6:28,6:43,0.25,B/D,Mechanical,,a side trough pressing pneu cyl rod got detached from eye,a side trough pressing pneu cyl rod welded with eye
196,diabola ,diabola ,trough shifting diabola distrack ,18:14,18:51,0.62,B/D,Mechanical,Tapash,diabola got derailed due to metal formation,diabola put on its track after cleaning off the metal
197,diabola ,diabola ,trough shifting diabola distrack ,19:48,20:26,0.63,B/D,Mechanical,Tapash,no record,
198,Trough ,Trough ,trough tilting prob,18:32,19:15,0.72,B/D,Mechanical,Tapash,no record,
199,Trough ,Trough ,B side trough pressing roller change ,6:40,7:00,0.33,B/D,Mechanical,,b side trough pressing guide rod jam ,b side trough pressing guide rod jam  freed
200,Trough ,Trough ,B side trough pressing roller prob,19:49,20:00,0.18,B/D,Mechanical,Tapash,no record,
201,Trough ,Trough ,B side trough pressing roller prob,22:08,22:12,0.07,B/D,Mechanical,Alekha,b side trough pressing unit was not getting down,on dc valve power supply was not coming-elect prob
202,PTT,PTT,PTT rope change ,17:25,17:50,0.42,B/D,Mechanical,Tapash,PTT rope got damage,PTT rope changed
