extractor,extractor,extractor  prob ,2:05,4:15,2.17,B/D,Mechanical,,Extractor jaw open close cylinder was not fully closing.,Extractor jaw open close cylinder changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core loader,Core loader,Core loader extractor change ,1:50,2:08,0.30,B/D,Mechanical,,Coreloader shaft bend,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeve,Mould,water leakage from spt side,16:40,16:55,0.25,B/D,Mechanical,,Water leakage from spt seal,Water leakage arrested by scaling out metal from spt seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeve,Mould,water leakage from spt side,18:41,19:23,0.70,B/D,Mechanical,,Water leakage from spt seal,Water leakage arrested by scaling out metal from spt seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabola ,Diabola ,Diabola nut & bolt loose,11:20,11:42,0.37,B/D,Mechanical,,Diabola trolley b side flat wheel got out,Diabola trolley b side flat wheel fitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeve,Mould,water leakage from spt side,21:20,21:37,0.28,B/D,Mechanical,,Water leakage from spt seal,Spt seal changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeve,Mould,Mould pressing roller prob ,4:30,4:50,0.33,B/D,Mechanical,,No record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeve,Mould,water leakage from spt side,18:00,18:16,0.27,B/D,Mechanical,,Water leakage from spt seal,Water leakage arrested by scaling out metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mould,Mould,mould rotation jam+ water leakage from spt side,23:30,1:00,1.50,B/D,Mechanical,,mould rotation jam+ water leakage from spt seal,Mould supporting rollers were checked and spt seal was changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mould,Mould,water leakage from spt side,2:00,2:15,0.25,B/D,Mechanical,,No record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mould,Mould,mould rotation jam+ water leakage from spt side,2:30,6:00,3.50,B/D,Mechanical,,mould rotation jam+ water leakage from spt seal,Spt side all mould supporting rollers were changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTT,PTT,PTT rope change ,23:30,0:00,0.50,B/D,Mechanical,,No record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ULI,ULI,dry uli tube change ,13:50,14:10,0.33,B/D,Mechanical,,operation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeve,Mould,water leakage from spt side,23:28,23:46,0.30,B/D,Mechanical,,No record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeve,Mould,Mould change due to mould vibration ,23:55,0:40,0.75,B/D,Mechanical,,mould vibration,Sleeve was changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeve,Mould,Mould sleeve setting prob ,0:40,1:30,0.83,B/D,Mechanical,,"when sl was removed,one jack nut was not removed fully and sl which was fitting got strucked",Jack nut cuuted out and sl was set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flag gate ,flag gate ,flag gate not up,7:04,7:20,0.27,B/D,Mechanical,,No record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor change ,15:00,16:30,1.50,B/D,Mechanical,,Due to misoperation extractor one jaw holder got bend,Extractor changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mould,Mould,water leakage from spt side,6:00,6:38,0.63,B/D,Mechanical,,Water leakage from spt seal,At spt side extra dummy seal provided ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mould,Mould,Mould vibration & water leak,7:26,8:30,1.07,B/D,Mechanical,,Mould vibration ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mould,Mould,water leakage from spt side,9:50,16:50,7.00,B/D,Mechanical,,Mould vibration + water leakage from spt seal,"Headbrg was changed,ac motor replaced,middle top roller was changed and mould was changed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trough ,trough ,trough vibration ,10:28,11:24,0.93,B/D,Mechanical,,operation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor stopper spring open out,1:07,1:35,0.47,B/D,Mechanical,,Extractor pipe stopper spring broked,Extractor pipe stopper spring changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor alingment,18:19,19:30,1.18,B/D,Mechanical,,pipe skt groove damage,extractor centered as its center was out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeve,Mould,Mould sleeve setting prob ,14:00,14:55,0.92,B/D,Mechanical,,Skt sleeve pressing unit head open out,skt sleeve pressing unit head fitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core loader,core loader,core loader spring broken ,1:40,2:08,0.47,B/D,Mechanical,,Coreloader spring broked,coreloader changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mould,Mould,Mould clamping plate water leakage ,3:35,4:43,1.13,B/D,Mechanical,,water leakage from skt clamping plate,"Mould was removed, gasket was replaced with rubber chord and mould refitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeve,Mould,water leakage from spt side,12:22,13:00,0.63,B/D,Mechanical,,Water leakage from taper plate o ring,Skt side h/b mounting bolts made tight and spt side steady made up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeve,Mould,water leakage from spt side,14:15,14:23,0.13,B/D,Mechanical,,No record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeve,Mould,water leakage from spt side,19:05,19:15,0.17,B/D,Mechanical,,No record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trough ,trough ,trough allignment prob,22:00,23:00,1.00,B/D,Mechanical,,operation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trough ,trough ,B side trough pressing roller prob,15:46,15:56,0.17,B/D,Mechanical,,b side trough pressing roller guide shaft clamp plate bolts were missing,Clamp plate bolts were fitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor centering check,16:15,17:11,0.30,B/D,Mechanical,,Extractor center out,extractor centered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trough ,trough ,B side trough pressing roller prob,20:56,21:22,0.43,B/D,Mechanical,,b side trough pressing roller rotation jam,b side trough pressing roller changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trough ,trough ,B side trough pressing roller prob,23:00,23:15,0.25,B/D,Mechanical,,b side trough pressing roller rotation jam,b side trough pressing roller changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor centering ,20:51,21:17,0.43,B/D,Mechanical,,Extractor center out,extractor centered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trough ,trough ,B side trough pressing roller prob,4:20,4:50,0.50,B/D,Mechanical,,B side trough pressing roller was not rotating,Roller replaced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core Loader,Core Loader,Core Loader compression adjustment,14:36,14:42,0.10,B/D,Mechanical,,No record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix ladle,Fix ladle,Fix ladle cylinder bracket work done by mechanical,3:00,4:00,1.00,B/D,Mechanical,,Fixed ladle cylinder go out from trunion bracket + oil leakage from port hose,"Cylinder refitted into trunion bracket,bracket bolts were replaced and hose replaced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core Loader,Core ring,Core ring change due to ring broken,2:50,3:08,0.30,B/D,Mechanical,,Corering sticked with produced pipe and corering with housing got out from its brg housing,coreloader replaced.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor stopper prob ,22:00,22:32,0.53,B/D,Mechanical,Alekha,due to misoperation extractor pipe stopper from base got twisted,temporarily extractor stopper at front made straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor centering ,3:20,4:15,0.92,B/D,Mechanical,Alekha,Extractor center got out,Extractor centered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor centering prob,12:15,12:57,0.70,B/D,Mechanical,,Extractor center out,extractor centered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor centering ,7:20,7:57,0.62,B/D,Mechanical,,No record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor centering ,21:50,22:39,0.82,B/D,Mechanical,,Extractor center out,extractor centered by shifting boggie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor centering ,23:35,0:50,1.25,B/D,Mechanical,,No record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor centering ,2:15,3:05,0.83,B/D,Mechanical,,No record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor centering ,4:35,6:00,1.42,B/D,Mechanical,,No record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor change ,12:23,13:19,0.93,B/D,Mechanical,,Extractor jaws were not closing due to sand jam in rotary pushing rod,     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor centering ,6:00,7:14,1.23,B/D,Mechanical,,Extractor center out + guide rod checknut loose,"extractor changed,extractor centered and guide rod checknut made tight.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor centering ,17:00,18:12,1.20,B/D,Mechanical,Alekha,Extractor center out,"Extractor centered + inside skt side collar flat boggie wheel,packing ring plate provided.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core loader,Core loader,Core loader prob ,21:05,21:18,0.22,B/D,Mechanical,,Coreburst + sandstick on pipe face surface,Coreloader centered as center was out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core loader,CCM,m/c stop due to c/b prob ,21:35,23:50,2.25,B/D,Mechanical,,Coreburst + sandstick on pipe face surface,Coreloader centered as center was out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor centering out ,12:12,13:04,0.87,B/D,Mechanical,,No record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor jaw open open close prob ,4:55,6:00,1.08,B/D,Mechanical,,Extractor jaws were not closing as rotary pusher shaft opened out,Extractor changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor change ,11:55,12:55,1.00,B/D,Mechanical,,Pipe slippage from extractor,Extractor changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTC ,MTC ,MTC gland tight ,17:20,18:30,1.17,B/D,Mechanical,,huge oil leakage from mtc gland,mtc gland mounting bolts made tight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor jaw open open close prob ,6:00,7:30,1.50,B/D,Mechanical,,Extractor jaws were not closing as rotary pusher shaft opened out,Extractor with rotary assy unit changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trough ,trough ,hydrulic oil leakage from trough shifting hose ,23:29,0:29,1.00,B/D,Mechanical,Srikanta,hydrulic oil leakage from a side trough shifting b port hose ,Hose changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor toper prob ,3:45,4:15,0.50,B/D,Mechanical,Srikanta,Extractor pipe stopper mounting bolts broked,Bolts fitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trough ,trough ,A side trough pressing unit change,14:00,15:00,1.00,B/D,Mechanical,,Due to misoperation trough pressing roller guide shaft got bend,Trough pressing roller with guide shaft changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTT,PTT,PTT rope change ,15:30,16:14,0.73,B/D,Mechanical,,PTT rope got cut,PTT rope changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mould,Mould,mould pressing roller change ,21:40,3:45,6.08,B/D,Mechanical,Ramesh Kumar,Pipe drawn,"Sleeve preesing units were checked,sector ladle cyl internel leakage checked,diabola cyl bracket bolts made tight,a side flat collar boggie wheels pressing cover made tight.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor jaw clossing prob ,21:14,0:17,3.05,B/D,Mechanical,Ramesh Kumar,Extractor jaws were not closing fully,Extractor with rotary assy unit changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor jaw clossing prob ,2:13,2:19,0.10,B/D,Mechanical,,No record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core loader,Core loader,Core loader centering ,4:35,5:21,0.77,B/D,Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mould,Mould,water leakage from spt side,20:10,20:18,0.13,B/D,Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core loader,Core loader,Core loader unit change,13:00,16:50,3.83,B/D,Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor jaw clossing prob ,6:40,6:56,0.27,B/D,Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor jaw clossing prob ,10:33,10:38,0.08,B/D,Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor jaw clossing prob ,13:30,13:40,0.17,B/D,Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor jaw clossing prob ,16:10,16:19,0.15,B/D,Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTT,PTT,PTT not moving ,21:47,22:25,0.63,B/D,Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trough ,Trough ,A side trough supporting roller change ,13:00,13:20,0.33,B/D,Mechanical,,Trough supporting roller was not rotating,Trough supporting roller changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mould,Mould,water leakage from spt side ,15:05,15:53,0.80,B/D,Mechanical,Tapash,water leakage from spt mould seal after sleeve set,Spt mould seal changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor unit change ,3:55,4:40,0.75,B/D,Mechanical,Alekha,pipe slippage from extractor due to hard extraction,Extractor changed and centered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor jaw clossing prob ,20:09,20:29,0.33,B/D,Mechanical,Tapash,No record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTC,MTC,MTC gland cleaning + MTC gland tight,15:25,16:00,0.58,B/D,Mechanical,Tapash,mtc clamp bolts got loose,mtc clamp bolts made tight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trough ,Trough ,A side trough supporting roller stand broken,14:18,14:44,0.43,B/D,Mechanical,Tapash,A side trough supporting roller bracket bottom frame broked,A side trough supporting roller bottom frame welded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trough ,Trough ,A side trough supporting roller change ,16:13,16:27,0.23,B/D,Mechanical,Tapash, A side trough supporting roller was not rotating,A side trough supporting roller changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCM,CCM,bogie wheel change ,2:00,5:20,3.33,B/D,Mechanical,,Pipe drawn,a side both skt and spt flat wheel with collar replaced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mould,Mould,water leakage from spt side ,23:45,0:50,1.08,B/D,Mechanical,,Water leakage from spt mould seal,Spt mould seal changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mould,Mould,water leakage from spt side ,9:11,14:50,5.65,B/D,Mechanical,,water leakage from h/b boggie mounting gap,h/b 12 mm o ring fitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core loader ,Core loader ,Core loader spring broken ,12:26,12:32,0.10,B/D,Mechanical,,coreloader spring broked,coreloader changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
